class_id,text
1,"The anti-American Democrat judges are dismissing amnesty cases and hundreds of illegals are being released into our country.
They are doing this while everyone is distracted. No one is trying to stop any of this insanity."
1,Pelosi is not someone we admire or listen to.
1,"And I see this plain as day on social media....the conservatives want to keep our freedoms, and stand up for our individual rights!!!!! And once you give away those rights, one by one, little by little...they got you!!!

What I see from the left is all about hate, and division and just plain nasty to those who don't follow along blindly....they
seem to enjoy the comfort of being told what to do!

It's sickening
And sad....."
0,"There's a story, a legend, really, of a Japanese American internee during WWII: One of the most stunning ironies in this episode of American civil liberties was articulated by an internee who, when told that the Japanese were put in those camps for their own protection, countered ""If we were put there for our protection, why were the guns at the guard towers pointed inward, instead of outward?"""
0,"She is a rich elite, bitter old has been, that thinks she is better than everyone"
1,That's what happens when you give up your guns.
2,"All control, to everyone who follow the crap these people tell you are weak and spineless! You are all being screwed and quit following the people who call themselves the professionals. This is just sick and Americans need to rise up, we carve our own path not them."
1,"If you're dumb enough to still support the Democrat party in 2021, there is probably no help for you."
1,The second amendment has never been so important...
1,"Living in Melbourne, Australia has become mentally crushing. Yesterday we had only 50 people testing positive to Covid. But we only have 25 people in hospital and 5 in ICU & no deaths at all this year - that is state wide total - not per day. But the entire state of over 5 million is in lockdown, curfew 9pm-5am, can only travel 5km from home, allowed outside for only 1 hour per day to excercise, all businesses except for essential services are closed-most are now backrupt, schools are still closed. This is our 6th lockdown - we have had more than 200 days in lockdown and no school attendance for 200 days. The mental health in the school aged children is our new pandemic but Victorian government will not address it - or even discuss it at their daily press conference. Violent protests are not the answer - but we are not surprised that it is sadly coming to this.😢"
2,Had enough? Going to get worse if you don't vote them out! See Australia!
1,Whether you're vaccinated or not please boycott any business that participates in these passports or mandates. Our Freedom is at stake and money still talks!
2,"She's counting on the same ""sophistication
"" parameters that was at Obama's party. You know those elite folks don't need the same directives like the little people."
2,"We've been watching this hypocrisy for well over a year. Americans controlled by fear, who would have thought."
2,"We have been failed by our so called representatives
and they all need to be thrown out of office.
They have ignored the southern border botched Afghanistan screwed up the covid response and so many other things 😞🇺🇸🍀"
1,"Not a lot of diversity among those rich Democrats either. I thought they loved diversity? Why so white?! Could it be…they’re the racist ones after? Yes? Thought so. I wish Nancy would put her mask on and breathe in really deep, multiple times."
2,"One of the few things that I am really getting very annoyed with is the claim that it is only/
those who voted for Trump, who are not getting vaccinated. I do not believe that is true., there probably are some. As there are also probably some voters who haven't been vaccinated either."
2,"Anyone listening to politicians for any medical advice deserves whatever happens to them. And by politicians, I include so called public health officials. They are politicians."
2,So sad to see what is happening to this country… right before our eyes.
1,"They're lying about everything. Everything. Obama's maskless bday party, Pelosi maskless, Biden's open borders letting covid positive people in. They're flat out lying. Actions speak louder than words."
1,The world is coming to an end! People are losing their minds over a virus and other ridiculous things! Good grief…people have so much fear…I can hardly believe this stuff!!
1,"I haven’t worn a mask from the very beginning. I will not comply to medical staff or to this administrations
attempt to control the American people! Citizens need to stand your ground!"
2,How great has Australia become? The citizens there are unarmed and helpless to resist these tyrants. Covid will never be as dangerous as the scourge that is liberalism and globalism.
0,"Im no longer a proud Aussie.Its disgusting what the governments are doing here, especially increasing police powers. We are fed up here."
1,frightening thing is there are quite a few people in this country who not only accept being micro managed with authoritarian restrictions and mandates but actually demand it
1,Covidiots at their finest. Sadly I know many who do and would think this is completely fine and normal. They are lost and will reap what they sow.
2,Before she sets foot on House floor she must undertake COVID test and show her passport for negative test results before she travels back to DC.
2,"Tucker, you are the closest person I know to any ""elite"". Please pass this on. I do no care what that women thinks, feels, says or smells like. She is NOTHING to me or MY Country."
1,The real American enemy isn’t hiding anymore. Socialism and communism is open and in the move
1,"Pelosi, Domestic Enemy of the United States of America n the American People, TREASON n Crimes against Humanity!IMPEAC
H HER NOW!!!!!!!"
1,"This is insanity. Welcome to communism. So sad and scary, but this is truly where we are headed."
1,How much longer does this have to go on? Trump won. We need our audits done across the Country and we need our President back.
2,I believe a good reason the lockdowns have not been as bad in the US is because the average american owns guns.
2,"You don’t need a mask at Obama’s birthday party either, Covid doesn’t spread at Democratic functions"
2,"The ""law "" is only for poor and uneducated people. I remember they said that for Obama's Birthday party."
1,People need to start buying guns and protect their families because the government is up to something bad
1,"All about control and one world government. Being locked in your home with no interaction with others is not a life. We either take a stand and refuse to be bullied and isolated, or they will continue to take away our freedom."
2,"This whole segment is very interesting, thought provoking and scary at the same time. I can’t believe the direction the world is heading, so sad."
0,This is a group of very sophisticated people isn't that what was said about Obama's party? I'm sure covid knows this.
1,Where are all the liberals defending this??? This whole mask issue is just to see who will comply for what's really coming are way. Wake up!! Rules for thee not for me!!
1,"What's funny to me is that the people that are on board with the masks, shot, and stay at home orders REALLY believe that it will end. That it's only temporary. They never notice the gov never speaks of an end. Just more and more restrictions. It's horrifying to think people are this blind."
1,Radical left will try to get every one of our rights eliminated.
1,"After so long of being told to stay home, don’t talk or interact with anyone and mandatory lockdowns the people will get tired of it! The people will raise up against their “leaders” and we will see countries succumb to revolutions much like the French Revolution! The people will get tired of being controlled, lied to and fed lines that the governing bodies knows what’s best for you while they’re actively breaking their own mandates and requirements to semi participate in society."
1,I have a sense of humor. I won't take a joke (Nancy Pelosi) seriously.
1,Maybe now Australians will regret giving away there firearms rights
1,"Pelosi was tricked into giving this speech for $30,000 for each ticket. Just like she got tricked into getting a haircut when she had the salon owner open up her non-essential business."
2,Not all of us are too far gone Tucker. We cannot laugh because once vibrant cities have been destroyed and hardworking Australians have lost all.
0,"The Nobles Elites billionaires all they want is there way. They want to treat humans like slaves, control and you wonder why the Taliban Insurgency got the best of our USA. That why our forefathers wrote the Constitution so as the wealthy Elite could not run over us humans. ""Peace Shalom"""
2,No. She thinks she is above the law. So sad. The world is heading in The wrong direction. Praying we all somehow get thru this.
2,The fact that anyone can ignore this hypocrisy and corruption is unreal. These are insane times.
1,"Highly predictable 0utcomes from and by Governments that want to and have confiscated their guns, loss of free expression and the right to peacefully protest against the government is taken away, and Tyranical Woke Leftist Powers and impositions by the Government follow quickly, who could believe what is and has happened in Australia and New Zealand"
1,"Just another evening in the world of the hypocritical “sophisticated”
extreme left, who are all mysteriously immune to COVID 19 and free from government suppression, unlike their masked servants."
2,"Typically you will see the Government gain control by fear or free stuff.
The message: for Thee but not for me.
Hopefully more Americans will wake up and see what’s going on here."
1,"I live in Melbourne and would move to Florida if the Australian Government would open the borders and let us leave.

It is 1960""s Russia here."
1,People must have been smarter back then because Democrats have been applying the mask mandates for us peasants for over a year but not following the same mandates themselves and we keep allowing it to happen.
2,"I live in Melbourne, Australia Tucker, I'm in my 50s now & am so disturbed about what is happening here 😳 Thank you for reporting the truth & sharing the plight of my country 🙏 I'm scared to leave my home here & barely go out, this is not the country I grew up in & loved, this is hell on earth 😢"
1,Highest hypocrisy from dems. A little bit of science and anyone can get that mask doesn’t protect but destroys your lungs and immune system.
2,Complete control of we the people using scare tactics until we expose them for what they really are. Domestic Terrorist groups and this Tyranny group are all about totally controlling we the people and destroying our Great Society any way they can so they can stay in power
2,"Here in Washington state the governor's mandate on the vaccine, excludes himself, all cabinet members, all state commissioners, and all state board members, but their employees MUST get the vaccine. Makes you go hmmm."
2,"Worst thing about it: I saw footage of protest here on facebook from some Australian outlet. And 99% of comments was: ""so many stupid and selfish people, they deserve what they got, they treated them too lightly.""
I found only 3 comments supporting the protesters.
I must say I was shocked especially by how many people used the term ""selfish"" parroting the mass media. Brainwashed."
2,"Disgusting. How can anyone continue to elect such garbage? Off topic, and this isn't a left or right thing, because there are plenty on the right too, but holding a government position for this long, gaining the wealth and power she has from it, shouldn't be allowed. For Pete's sake... 😡"
1,We are the deplorable servants. She is the elitist who wants to put a crown on her head so we can bow down and kiss her behind. Over my dead body.
0,"Australia has apparently come full circle.
Prison colony to prison country"
1,"From Australia, here is the link to the 12 year old girl being handcuffed, man -handled, and arrested for the high crime of not wearing a face mask ..... judge for yourselves ....//
?__cft__%5B0%5D=
AZWGk_J5OZ8lsK9
JptnsD4Z8WuRjCw
WNwWqdrIzmxtSTt
akV66n0xZ0Wm4vu
sM11fGYJv_KfE7B
u4LPmbsvgfa7VVd
OOXbODOx3PQOpmc
FwlHOGptzCXJoAg
nZQAt5dysA3gblL
BZ_wYJiHtw9xqqT
F5XQCmTuQf6cqxO
kLAoaT-cuG3JT2k
c3mklTIMnGyPBDQ
&__tn__=R]-R"
2,"I can't believe police in Australia have sunk to an all time low and are arresting citizens for basically nothing.....Ver
y sad .....our world is becoming ""1984)"
2,Cant make this crap up.....Im so disgusted with our current hypocrits in office. Wake up America and take our country back
2,It’s absolute frightening lunacy! Thank you for showing this. We as Americans need to see where this is heading.
1,"When is Pelosi being impeached? Oh that's right, she's a Democrat. They are protected by hypocrisy."
2,I was just talking about this. I don't watch Fox News anymore but this is exactly what I have been trying to say. Look at the tyrannical policies being enforced. It's coming to the US if people don't wake up. Read the studies and look at the science. Don't just take the word of mainstream media. They are trying to push a narrative that is absolutely not supported by the science. This is absolutely sickening.
1,"Yes it is every bit as bad in Melbourne Australia as it appears!
200 plus days of hard lockdown plus a similar amount under heavy restrictions such as not being allowed to have any visitors, work, travel more than 5kms,( 3 miles), and curfew from 9pm to 5am.
We are under the control of an insane dictator obsessed with eradication of the virus while nuking everything!
Kids and people are topping themselves or attempting to, and going around the bend.
Fine for going to the protest or disobeying rules is $5000 dollars!!
The mainstream media are pushing the same propaganda as the Andrews government has inflicted on us.
Lockdowns mightn't even end after we hit 80% vaccinated, now they're pushing for kids to be included!
I Weep for my children's future, democracy Worldwide has never been more in peril! 😕"
1,"Australia is a perfect example of why Americans should be so grateful of the 2nd amendment and do everything you can to protect it!
I don’t believe Australia’s government would be doing what they’re doing if they had a nation full of arm citizens."
2,"Let's not forget that the government has confiscated all the civilian guns as well. Oh that's right, they were forcefully surrendered."
1,"I am from a Suburb in Sydney, NSW. Every morning at 11am all the MSM televise our Premier, Gladys Berajiglian ranting and raving about this Delta virus and the dangers of it. We went into lockdown on 26 June 2021 and as of Monday 23rd August, she placed a curfew, no one allowed out of their home between 9pm -5am. when this Delta outbreak began, she said 1,000sands are going to get the virus and 1,000sands are going to die. So far 130 have passed away, and I would be confident to say 100 died of old age and the rest died of other illnesses other than Delta. They even listed a 15yr old boy as a Covid death who was in Hospital for menningacoccal.
It is absolute Tyranny in the state of NSW. We are not even allowed to protest, the Government has given the Police force all powers to make sure of that.

They have scared the population so much that 6,000,000 have had at least 1 dose of the vaccine.

We are living in a nightmare in ""The Lucky Country."
2,"She is the poster child for “Term Limits “….$30,000 a plate to hear this windbag blow…Money could have been well spent on other things within her community she serves…Complete
and utter disgrace…."
1,"I'm in Melbourne I haven't heard any reports about the dog shooting ,we're not under marshal law, the ADF is assisting the police in NSW with checking on people who should be isolating as far as know. We are under a curfew 9pm to 5am,and we need permits to work, and that's if your an essential worker, our lockdown rules are pretty harsh, I can't visit my daughters, can only travel over 5kms for work, not pleasure. No standard retail is open, only essential shopping centres, and Saturdays protest came out of pure frustration, people are tired of being locked away, it's a shame it came to that, but people are on edge. If we do get to 80% vaccination, Queensland and Western Australia have said they may not open their boarders to other states ,because they won't 0 covid, so yep we're doing it hard down under. 🇦🇺🇦🇺"
1,Australia is a perfect example of what happens to an UNARMED population....
2,All Americans should of made a stand to stop the control long before the Afghanistan mess.
1,No one can trust their government and do not give up Any constitutional rights or rights to protect yourself
2,Coming to America soon if men and women don’t realize today that this country’s freedoms we still have is worth fighting for.
1,When komunist and fascism gets together everyone will be afraid of flu 😢. Sad to let the history repeat more worst
1,Thanks Tucker Carlson Tonight It's true here in Melbourne. Lockup 6.0 Only allowed out for 5 reasons. Get caught too far from home they fine ya. Curfew. 5km limit. Permits for everything. Kids still learning online. Mental health issues growing. Vacant shops growing. Yet people keep voting the socialists back in.
1,"All this is Happening because they gave up their Guns..If they were a Armed Society this wouldn't be Happening..Ever
y Gun Manufacturer in the US is Expanding its operations to keep up with the Demand for Guns in the us..People know what's going on an they're getting Ready for It.."
2,"These people are brainwashed and the people that have been elected should be charged with treason that's my background and knowing what people should be charged with. It's disgusting to see that they're tearing families apart friends apart jobs apart this is horrible people need to wake up
."
1,"They first took their guns see what can happen ""O"" it can not happen in the USA"
2,"No. My body, my choice. They do not have the right or power to control medical decisions on anyone else's behalf. Mask mandates are illegal. Vaccine mandates are illegal. Any mandate made by the branch is illegal. Only the legislature can write laws, and still are limited by the United States constitution as well as each individual state's constitutions. That is it's purpose...to limit their control. We the people are the boss, not our representatives
. They were elected to represent us, not rule us."
2,"The fact that people aren’t fed up with all the blatant hypocrisy going on in our government, media or you name it is appalling!! Wake Up!!"
